Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Batch,Heat,Lot,Note,Sample,Mode,Ag,Ag 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Cd,Cd 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Ca,Ca 2-Sigma,K,K 2-Sigma,Al,Al 2-Sigma,Ba,Ba 2-Sigma,Cl,Cl 2-Sigma,Mg,Mg 2-Sigma,P,P 2-Sigma,S,S 2-Sigma,Si,Si 2-Sigma,Satellites,Altitude,Latitude,Longitude,Grid,Easting,Northing,
617,Mining,60.28,14.26,9.62,9.68,9.34,"Mon Jul 28, 2025 - 18:04:50",User,1,ppm,,,,,,Mining,<LOD,1.9868,<LOD,1.1234,<LOD,2.3692,637668.3125 , 3260.2822,<LOD,1.2463,<LOD,2.9336,<LOD,52.1494,51.3761 , 6.5477,19.7476 , 3.0504,37557.4766 , 103.1030,<LOD,0.0000,<LOD,2.0353,654.4484 , 26.6393,<LOD,0.9719,7.0282 , 0.5476,14.0647 , 5.1889,5.1711 , 0.8142,<LOD,1.4673,33.2331 , 0.8811,<LOD,0.0000,<LOD,5.4608,<LOD,0.7324,10.7996 , 3.1854,167.3717 , 0.9585,<LOD,0.0000,3.5609 , 0.7041,4235.3740 , 46.9013,<LOD,2.9149,113.5929 , 13.4064,<LOD,5.9130,20.4236 , 0.5933,56.5158 , 2.4860,118.3529 , 1.1765,27282.0488 , 189.2653,11692.6836 , 148.3806,79575.8281 , 993.2766,592.4999 , 211.4819,444.9600 , 46.9202,14860.4111 , 2267.9639,2026.4436 , 149.8893,232.3214 , 34.8870,182555.9219 , 506.8662,7,13.000000,40.871029,-124.101662,10.000000,407167.218750,4525024.000000,
618,Mining,60.33,23.34,9.10,0.00,9.51,"Mon Jul 28, 2025 - 18:15:54",User,1,ppm,,,,,,Mining,<LOD,1.7159,<LOD,1.0842,<LOD,2.2480,602154.3750 , 2914.1438,<LOD,1.2878,<LOD,2.5765,<LOD,51.8417,46.7205 , 6.4355,41.5034 , 3.1633,43217.6953 , 109.2236,<LOD,0.0000,<LOD,2.2200,760.9818 , 26.0138,<LOD,0.9405,7.6839 , 0.5198,23.9246 , 5.0077,7.5990 , 0.8024,<LOD,1.3608,41.4022 , 0.8993,<LOD,0.0000,<LOD,4.8293,<LOD,0.6801,14.1900 , 2.8451,187.4818 , 0.9625,<LOD,0.0000,<LOD,1.6404,4600.3262 , 48.2317,<LOD,2.5622,116.8905 , 13.7821,<LOD,5.4538,21.6108 , 0.5788,68.1986 , 2.4890,132.1199 , 1.1713,29785.5664 , 197.9324,14284.0684 , 161.2136,84378.5703 , 916.4614,575.9635 , 205.5829,317.5455 , 38.8449,17647.4219 , 2057.3093,670.3005 , 95.0739,<LOD,38.6548,200897.8594 , 479.0870,5,12.900000,40.871082,-124.101662,10.000000,407167.437500,4525030.000000,
619,Mining,60.30,19.65,9.62,9.04,13.85,"Mon Jul 28, 2025 - 18:30:00",User,1,ppm,,,,,,Mining,<LOD,1.8190,<LOD,1.2943,<LOD,2.3540,573455.6875 , 2978.4180,<LOD,1.1706,<LOD,2.6843,<LOD,51.9894,40.2635 , 6.0554,42.0326 , 3.1125,44985.3477 , 113.0429,<LOD,0.0000,<LOD,3.2073,773.7293 , 25.6937,<LOD,0.9402,7.8490 , 0.5149,19.3924 , 4.9217,6.0967 , 0.7703,<LOD,1.4300,40.7573 , 0.8867,<LOD,0.0000,<LOD,5.0559,<LOD,0.6854,14.9640 , 2.9680,203.2539 , 0.9917,<LOD,0.0000,3.5133 , 0.6657,4415.9644 , 46.1755,<LOD,2.7974,102.8699 , 12.9539,<LOD,5.6845,23.4669 , 0.5813,64.2321 , 2.4068,139.8491 , 1.1922,33325.0195 , 198.9940,12837.3184 , 146.7225,95270.9297 , 954.3514,629.8683 , 224.8114,186.7286 , 36.2095,21696.4297 , 2065.8735,429.6700 , 88.8495,52.9769 , 26.1731,211231.7969 , 475.7843,6,11.600000,40.871101,-124.101677,10.000000,407166.500000,4525032.500000,
620,Mining,61.31,18.75,9.46,9.92,14.93,"Mon Jul 28, 2025 - 18:37:43",User,1,ppm,,,,,,Mining,<LOD,1.9487,<LOD,1.4772,<LOD,2.7134,568315.0625 , 2953.4722,<LOD,1.1994,<LOD,2.6342,<LOD,53.2140,45.9108 , 5.8946,51.2253 , 3.3526,43705.7031 , 114.0546,<LOD,0.0000,<LOD,1.6441,804.9699 , 26.9390,<LOD,0.9627,6.6322 , 0.5301,16.9702 , 5.0226,5.9106 , 0.7948,<LOD,1.3692,41.4500 , 0.9186,<LOD,0.0000,<LOD,4.9209,<LOD,0.7418,15.3559 , 2.8707,193.0191 , 0.9977,<LOD,0.0000,4.1986 , 0.6931,4682.4844 , 44.4276,2.1190 , 1.1361,118.4245 , 12.7862,<LOD,0.0000,21.8528 , 0.5909,59.5709 , 2.4216,136.9354 , 1.2165,29444.7109 , 183.7126,13604.8379 , 146.5604,96558.4844 , 940.1804,610.9215 , 218.0531,393.2510 , 37.0957,18922.0996 , 1973.0101,460.3427 , 87.8667,<LOD,36.8186,221777.5312 , 474.1242,6,11.700000,40.871098,-124.101685,10.000000,407165.781250,4525032.000000,
621,Mining,60.42,17.66,9.73,9.39,14.60,"Mon Jul 28, 2025 - 20:46:30",User,1,ppm,,,,,,Mining,<LOD,2.9616,<LOD,1.1922,<LOD,2.6776,547620.4375 , 3454.0911,<LOD,1.3649,<LOD,2.8635,<LOD,59.5534,92.5783 , 6.4061,56.5822 , 3.7061,49888.2539 , 125.8626,<LOD,0.0000,<LOD,3.4395,1009.7669 , 30.8979,<LOD,1.0213,6.9573 , 0.5629,51.1794 , 6.0051,7.8818 , 0.8947,<LOD,1.5410,29.6139 , 0.8988,<LOD,0.0000,<LOD,5.2918,<LOD,0.7957,10.6019 , 3.0896,311.9075 , 1.3510,<LOD,0.0000,2.0367 , 0.7421,4657.0376 , 45.0865,<LOD,2.8665,116.3453 , 12.9172,<LOD,6.3786,22.0259 , 0.6201,73.2055 , 2.7859,136.5171 , 1.3625,37576.5977 , 203.0823,9694.6924 , 126.4009,117168.8750 , 1113.0292,575.1566 , 205.2950,<LOD,52.9489,26318.6191 , 2229.1704,1157.2478 , 105.9575,<LOD,39.4594,203415.8906 , 474.6948,6,1.300000,40.871151,-124.101669,10.000000,407166.843750,4525038.000000,
622,Mining,60.03,24.72,9.13,0.00,9.81,"Tue Jul 29, 2025 - 00:51:38",User,1,ppm,,,,,,Mining,<LOD,1.5228,<LOD,0.5983,<LOD,1.4384,764464.4375 , 1182.5555,<LOD,0.7843,<LOD,1.7865,<LOD,6.3083,10.6215 , 2.9463,<LOD,2.4809,211.6275 , 10.9495,<LOD,0.0000,<LOD,1.3033,<LOD,16.5186,<LOD,0.6385,<LOD,0.4973,<LOD,3.6134,<LOD,0.6361,<LOD,0.9570,<LOD,0.4043,<LOD,0.0000,<LOD,3.3189,<LOD,0.4574,<LOD,2.7240,<LOD,0.1972,<LOD,0.0000,<LOD,0.7954,<LOD,10.2164,<LOD,0.8480,<LOD,2.9808,<LOD,3.8365,<LOD,0.3480,<LOD,1.4029,<LOD,0.4282,<LOD,9.2432,<LOD,21.4278,<LOD,184.2686,<LOD,21.3480,<LOD,31.9585,<LOD,1072.0614,<LOD,62.3478,<LOD,29.6333,235313.3438 , 373.1729,,,,,,,,
623,Mining,63.09,18.97,11.00,9.21,13.99,"Tue Jul 29, 2025 - 00:57:04",User,1,ppm,,,,,,Mining,<LOD,2.0778,<LOD,1.5629,<LOD,2.5562,590576.9375 , 3056.2788,<LOD,1.2794,<LOD,3.0534,<LOD,57.8955,72.6967 , 6.9097,48.7299 , 3.4082,55879.1523 , 121.5868,<LOD,0.0000,<LOD,2.8696,987.4999 , 28.7493,<LOD,0.9961,7.1697 , 0.5479,68.3093 , 5.8286,5.4559 , 0.8093,<LOD,1.7331,31.0290 , 0.8697,<LOD,0.0000,<LOD,5.8409,<LOD,0.7562,20.3580 , 3.4142,330.4086 , 1.3039,<LOD,0.0000,<LOD,0.9948,4194.2798 , 48.5878,2.9750 , 1.3147,110.8602 , 14.0831,<LOD,6.5083,23.1997 , 0.5943,82.8080 , 2.7447,139.6046 , 1.2984,35260.7148 , 224.2886,8803.2021 , 138.2907,100056.5312 , 990.0742,708.6037 , 252.8937,<LOD,52.4480,18801.9922 , 2053.4121,593.5759 , 92.3016,129.3575 , 27.2220,183064.5312 , 456.7010,4,169.199997,40.870380,-124.101326,10.000000,407194.843750,4524952.000000,
624,Mining,64.63,8.94,9.03,0.00,9.54,"Tue Jul 29, 2025 - 01:01:06",User,1,ppm,,,,,,Mining,<LOD,2.1211,<LOD,1.3708,<LOD,2.3215,633353.5625 , 3202.6670,<LOD,1.3324,<LOD,3.0223,<LOD,53.6879,13.2470 , 2.8649,38.3157 , 3.3022,43478.9883 , 105.2177,<LOD,0.0000,<LOD,2.0833,830.9895 , 27.7791,<LOD,0.9608,5.6695 , 0.5253,38.3450 , 5.4648,3.6825 , 0.7795,<LOD,1.6626,26.2571 , 0.8155,<LOD,0.0000,<LOD,5.7472,<LOD,0.7118,<LOD,7.6387,269.1304 , 1.1878,<LOD,0.0000,<LOD,1.7343,558.3742 , 18.0071,<LOD,2.6106,25.2621 , 4.6826,<LOD,6.3208,19.8186 , 0.5690,63.7390 , 2.5516,120.2491 , 1.2175,4065.7625 , 66.1021,2318.2266 , 59.1664,96576.6016 , 1048.0150,590.3154 , 210.7026,<LOD,63.4812,14949.9707 , 2108.1128,1192.7515 , 120.0795,<LOD,58.0595,201460.7656 , 497.2991,7,33.500000,40.871010,-124.101540,10.000000,407177.468750,4525022.000000,
625,Mining,60.18,13.99,9.21,9.38,9.60,"Tue Jul 29, 2025 - 01:11:32",User,1,ppm,,,,,,Mining,<LOD,2.1131,<LOD,1.6267,<LOD,2.8301,573702.4375 , 3282.4722,<LOD,1.4409,<LOD,3.1580,<LOD,73.1586,68.6940 , 9.8639,26.0066 , 3.3529,90152.2266 , 152.7972,<LOD,0.0000,<LOD,3.1387,2650.0408 , 42.6457,<LOD,1.0137,3.8597 , 0.5696,91.9384 , 6.8789,4.0858 , 0.8792,<LOD,1.6783,27.3997 , 0.8835,<LOD,0.0000,<LOD,5.9601,<LOD,0.8338,17.0638 , 3.5065,289.9205 , 1.3152,<LOD,0.0000,<LOD,1.0378,6918.0981 , 80.9226,<LOD,2.5090,176.7337 , 21.7318,<LOD,6.8446,34.0734 , 0.7055,71.4652 , 2.7914,84.9358 , 1.1824,32967.8594 , 247.5126,13884.0664 , 191.0555,73646.0703 , 925.0687,3765.0823 , 40.3566,<LOD,55.5007,21472.6719 , 2487.1011,7991.7705 , 228.0898,157.3342 , 32.2763,171796.1562 , 468.3514,9,6.700000,40.871147,-124.101677,10.000000,407166.000000,4525037.500000,
626,Mining,64.18,19.52,11.60,9.34,14.08,"Wed Jul 30, 2025 - 00:03:34",User,1,ppm,,,,,,Mining,<LOD,1.8524,<LOD,0.5201,<LOD,1.3981,760399.0000 , 1283.9746,<LOD,0.7359,<LOD,1.8548,<LOD,5.5232,<LOD,4.0321,<LOD,2.2476,228.7283 , 10.3397,<LOD,0.0000,<LOD,1.2515,<LOD,14.9486,<LOD,0.5792,<LOD,0.4624,<LOD,3.4995,<LOD,0.5609,<LOD,1.0063,<LOD,0.3655,<LOD,0.0000,<LOD,3.7210,<LOD,0.4357,<LOD,2.8320,<LOD,0.1860,<LOD,0.0000,<LOD,0.7086,<LOD,12.5810,<LOD,0.7810,<LOD,2.8465,<LOD,3.3963,<LOD,0.3208,<LOD,1.2581,<LOD,0.3928,<LOD,11.0669,<LOD,21.5274,<LOD,179.3821,<LOD,22.0631,<LOD,29.7857,<LOD,1451.3847,<LOD,65.2054,<LOD,24.5423,239372.2656 , 382.2923,,,,,,,,
630,Mining,63.41,19.17,12.47,9.57,14.32,"Wed Jul 30, 2025 - 14:01:12",User,1,ppm,,,,,,Mining,1.2194 , 0.7458,<LOD,0.5548,<LOD,1.5549,762741.5625 , 1138.8018,<LOD,0.7878,<LOD,1.6948,<LOD,5.7133,12.2637 , 1.8770,<LOD,2.2935,193.2827 , 10.0216,<LOD,0.0000,<LOD,1.1822,<LOD,14.6888,<LOD,0.5981,<LOD,0.4729,<LOD,3.4300,<LOD,0.5812,<LOD,1.4000,<LOD,0.3692,<LOD,0.0000,<LOD,4.2745,<LOD,0.4608,<LOD,2.5816,<LOD,0.1903,<LOD,0.0000,<LOD,0.6087,<LOD,16.5629,<LOD,0.7659,<LOD,4.7743,<LOD,0.0000,<LOD,0.3285,<LOD,1.3077,<LOD,0.4028,<LOD,32.2545,1279.3488 , 41.4043,<LOD,164.3788,<LOD,20.1414,<LOD,27.0269,<LOD,1099.8429,<LOD,57.8575,<LOD,22.9220,235772.3594 , 355.7254,,,,,,,,
631,Mining,64.39,14.80,18.82,9.47,9.41,"Wed Jul 30, 2025 - 14:06:22",User,1,ppm,,,,,,Mining,<LOD,2.7557,<LOD,1.8151,<LOD,3.5027,403700.7500 , 4629.2476,<LOD,1.5404,<LOD,3.8374,<LOD,69.2944,54.9026 , 10.6063,37.6634 , 3.4764,72646.0234 , 153.4409,<LOD,0.0000,<LOD,3.5029,1534.1680 , 35.2894,2.5815 , 0.7044,6.7250 , 0.5921,39.3402 , 6.5632,9.0894 , 0.9560,<LOD,2.2218,32.1623 , 0.9442,<LOD,0.0000,<LOD,7.4140,<LOD,0.8680,32.9410 , 4.4288,360.0875 , 1.4814,<LOD,0.0000,<LOD,1.3478,9666.7529 , 98.0449,<LOD,3.1543,197.9033 , 25.9425,<LOD,7.3199,44.0484 , 0.7686,107.8529 , 3.2404,104.5666 , 1.2947,42356.3750 , 282.7903,18328.5195 , 221.3206,145178.0156 , 1406.5586,4734.6338 , 53.1032,<LOD,53.9447,49974.2656 , 2947.2427,11511.1875 , 267.5572,93.4524 , 32.6911,239245.9844 , 517.3470,4,15.300000,40.871170,-124.101799,10.000000,407156.187500,4525040.000000,
632,Mining,63.49,8.87,23.04,0.00,9.62,"Wed Jul 30, 2025 - 14:29:03",User,1,ppm,,,,,,Mining,<LOD,3.2602,6.2077 , 1.2010,<LOD,2.9695,363883.3125 , 4516.9097,<LOD,1.5180,<LOD,3.5177,<LOD,74.0577,56.3843 , 10.2203,41.4041 , 3.5459,86335.3906 , 192.9847,<LOD,0.0000,4.7388 , 1.6968,1683.7057 , 36.1639,2.0185 , 0.7240,7.7289 , 0.6040,58.7007 , 7.0961,25.9216 , 1.2017,<LOD,2.7104,41.8535 , 1.0410,<LOD,0.0000,<LOD,6.7554,<LOD,0.9196,19.0107 , 3.9806,367.0643 , 1.5408,<LOD,0.0000,<LOD,1.4024,13426.1963 , 101.0069,<LOD,3.5390,256.4213 , 27.6204,<LOD,7.4024,45.8794 , 0.8021,139.8062 , 3.6057,134.9206 , 1.4255,45357.8047 , 280.1556,18058.8555 , 210.1280,159716.7656 , 1377.0762,3753.6853 , 45.3435,<LOD,49.9997,52015.6523 , 2861.2266,7455.4985 , 213.6089,163.6721 , 28.9744,246941.3906 , 509.4217,7,4.200000,40.871109,-124.101639,10.000000,407169.718750,4525033.000000,
633,Mining,60.63,13.68,9.79,9.84,9.92,"Wed Jul 30, 2025 - 14:32:01",User,1,ppm,,,,,,Mining,<LOD,2.1767,2.2677 , 0.8434,<LOD,2.5636,518681.5000 , 3486.2483,<LOD,1.3401,<LOD,2.9919,<LOD,68.9693,33.6221 , 8.7008,27.6898 , 3.3216,72156.5000 , 150.0092,<LOD,0.0000,<LOD,2.2474,2665.4624 , 44.1787,<LOD,1.0301,4.9936 , 0.5775,62.7421 , 6.6223,4.6171 , 0.8729,<LOD,1.6018,33.6275 , 0.9458,<LOD,0.0000,<LOD,5.5708,<LOD,0.8093,33.0596 , 3.3264,308.6988 , 1.3657,<LOD,0.0000,<LOD,1.1438,11295.4434 , 85.1812,<LOD,2.8210,267.1236 , 23.7375,<LOD,7.0051,38.1048 , 0.7375,117.2927 , 3.3497,112.1189 , 1.2962,42936.5938 , 250.1089,15684.6621 , 181.7106,99522.0938 , 1042.7838,2756.7402 , 34.7999,<LOD,51.9639,28795.6387 , 2454.7883,5683.3672 , 193.5610,186.3205 , 29.7691,198589.7188 , 472.4365,7,5.700000,40.871140,-124.101646,10.000000,407169.062500,4525036.500000,
634,Mining,61.93,,,,,"Wed Jul 30, 2025 - 14:33:43",User,1,ppm,,,,,,Mining,<LOD,2.7845,<LOD,1.8292,<LOD,2.5235,515580.3750 , 3679.3704,<LOD,1.2947,<LOD,3.1584,<LOD,64.4942,57.7671 , 9.1213,28.6199 , 3.1381,70543.4141 , 141.6631,<LOD,0.0000,<LOD,2.1261,1423.4305 , 32.5433,<LOD,0.9807,6.0736 , 0.5510,44.0677 , 5.9840,7.4345 , 0.8711,<LOD,1.6888,33.0021 , 0.8925,<LOD,0.0000,<LOD,5.9194,<LOD,0.8073,22.1597 , 3.5243,311.5361 , 1.2977,<LOD,0.0000,<LOD,1.0283,11254.0205 , 87.2751,<LOD,3.1364,235.1319 , 24.3125,<LOD,6.4690,36.6873 , 0.6878,119.4475 , 3.1858,107.1368 , 1.2083,42074.0234 , 259.4456,15378.6387 , 188.9902,102993.0469 , 1123.3063,2821.7083 , 37.6535,<LOD,54.5713,33759.0898 , 2649.0066,5807.5972 , 200.2590,75.0640 , 30.4105,197280.5469 , 489.7267,7,3.600000,40.871147,-124.101646,10.000000,407168.937500,4525037.500000,
635,Mining,60.39,19.34,9.05,9.20,13.90,"Wed Jul 30, 2025 - 14:40:14",User,1,ppm,,,,,,Mining,<LOD,2.0514,<LOD,1.6286,<LOD,2.5999,474422.5625 , 3524.5833,<LOD,1.3020,<LOD,3.0654,<LOD,69.9151,51.1650 , 9.1396,42.5073 , 3.3608,84630.7734 , 175.3357,<LOD,0.0000,<LOD,3.4878,1446.8037 , 32.4557,<LOD,0.9927,5.3373 , 0.5510,53.1774 , 6.6239,7.2223 , 0.8818,<LOD,1.7194,34.7916 , 0.9120,<LOD,0.0000,<LOD,5.7799,<LOD,0.7754,16.9852 , 3.3986,324.4250 , 1.3609,<LOD,0.0000,<LOD,1.2735,11727.2930 , 89.3181,<LOD,2.3497,245.1970 , 24.6124,<LOD,6.6031,38.2936 , 0.7072,126.4893 , 3.2888,113.0190 , 1.2554,43563.9531 , 261.6783,16787.1055 , 193.1852,111113.2266 , 1086.8517,2702.6123 , 36.1896,668.3311 , 37.3876,36748.9453 , 2564.9189,6016.0581 , 195.1862,206.2666 , 28.9924,208907.4062 , 478.8583,7,1.000000,40.871143,-124.101654,10.000000,407168.093750,4525037.000000,
636,Mining,60.70,24.37,8.73,0.00,9.04,"Wed Jul 30, 2025 - 14:59:52",User,1,ppm,,,,,,Mining,<LOD,3.1303,<LOD,1.9314,<LOD,3.0044,442891.3125 , 3823.7502,<LOD,1.4281,<LOD,3.0980,<LOD,67.5579,51.3664 , 8.7127,45.7520 , 3.5125,68584.4531 , 155.2140,<LOD,0.0000,<LOD,3.7314,1528.2899 , 35.0999,<LOD,1.0301,5.9060 , 0.5738,29.7854 , 6.2867,9.8021 , 0.9448,<LOD,1.6918,42.1018 , 1.0164,<LOD,0.0000,<LOD,5.8565,<LOD,0.8180,21.6828 , 3.4621,357.1951 , 1.4702,<LOD,0.0000,<LOD,1.3529,9210.0391 , 81.2707,<LOD,2.7326,208.7649 , 22.1194,<LOD,6.6663,39.8913 , 0.7500,98.8471 , 3.0976,118.9053 , 1.3346,44882.8945 , 261.2869,19389.3652 , 202.8573,130462.7812 , 1183.2880,2672.4404 , 36.4695,<LOD,49.8729,36916.6094 , 2508.6694,9416.0127 , 232.1433,62.9570 , 29.4150,232952.8438 , 489.3647,7,1.600000,40.871120,-124.101662,10.000000,407167.343750,4525034.500000,
637,Mining,60.10,23.83,0.00,9.51,9.69,"Wed Jul 30, 2025 - 15:08:21",User,1,ppm,,,,,,Mining,12.3064 , 7.0757,73.3972 , 7.5743,<LOD,11.8512,275944.0000 , 8218.0605,<LOD,5.6463,<LOD,6.4653,<LOD,260.1604,711.4548 , 30.0637,1049.6302 , 28.2264,598371.3750 , 801.8270,<LOD,0.0000,<LOD,9.3848,82.1039 , 43.0433,120.5424 , 2.9787,3.7864 , 1.4453,901.4913 , 64.5880,198.9062 , 7.4099,6.5892 , 2.8467,<LOD,1.8361,<LOD,0.0000,<LOD,12.1796,<LOD,4.3264,58.5140 , 7.4483,66.1084 , 1.5971,<LOD,0.0000,<LOD,11.7574,280.4750 , 80.4571,<LOD,3.0274,202.6044 , 26.4483,<LOD,35.9354,<LOD,2.0311,894.6502 , 20.7002,6.0012 , 1.2668,11058.6211 , 264.9453,749.1626 , 118.4729,43166.7930 , 1004.3962,544.8305 , 194.4726,5386.1792 , 57.8086,17040.0469 , 5079.6934,1992.1506 , 115.7728,1662.3866 , 38.2644,39415.9766 , 250.0281,7,5.500000,40.871075,-124.101646,10.000000,407168.968750,4525029.500000,
638,Mining,60.01,9.29,9.05,0.00,8.69,"Wed Jul 30, 2025 - 15:10:18",User,1,ppm,,,,,,Mining,<LOD,2.2113,<LOD,1.6152,<LOD,2.7314,461896.6250 , 3981.7634,<LOD,1.4975,<LOD,3.3640,<LOD,75.6095,36.0857 , 8.8032,43.6018 , 3.7727,77868.5391 , 159.1922,<LOD,0.0000,<LOD,2.5338,1724.8716 , 38.8999,<LOD,1.0950,5.2755 , 0.6133,34.6085 , 7.1208,8.2634 , 0.9937,<LOD,1.7761,36.5583 , 1.0332,<LOD,0.0000,<LOD,6.2360,<LOD,0.8554,40.0286 , 3.7351,328.5393 , 1.4894,<LOD,0.0000,<LOD,1.1481,10050.9551 , 84.6834,<LOD,2.9848,188.0147 , 23.1511,<LOD,7.5384,39.2438 , 0.7922,118.0518 , 3.5607,109.8937 , 1.3745,41970.0859 , 259.7827,15384.1348 , 189.6609,117320.8984 , 1146.6512,2800.4094 , 38.3668,<LOD,50.3194,41621.5742 , 2638.4905,7720.4438 , 211.7992,<LOD,65.8767,220653.2656 , 475.0901,8,5.300000,40.871090,-124.101646,10.000000,407169.000000,4525031.000000,
639,Mining,60.07,23.90,0.00,9.83,9.63,"Wed Jul 30, 2025 - 15:16:50",User,1,ppm,,,,,,Mining,<LOD,2.7795,2.7375 , 0.9960,<LOD,3.1699,422256.9688 , 5112.7832,<LOD,1.6689,<LOD,3.6113,<LOD,79.5125,50.5064 , 9.9484,43.7429 , 4.1451,75070.4688 , 149.2354,<LOD,0.0000,<LOD,4.1893,1535.3290 , 40.0784,<LOD,1.1963,6.3696 , 0.6728,56.2075 , 7.7522,4.5553 , 1.0278,<LOD,2.0315,35.7993 , 1.1090,<LOD,0.0000,<LOD,6.9321,<LOD,0.9620,35.1965 , 4.1420,328.7846 , 1.5760,<LOD,0.0000,<LOD,2.1928,12293.7285 , 94.4439,<LOD,3.7049,245.0712 , 26.3266,<LOD,8.2135,39.6124 , 0.8509,117.5279 , 3.8212,117.8165 , 1.5001,44207.5664 , 270.1195,16428.6348 , 200.2924,136156.4688 , 1484.3403,3750.9534 , 45.4845,<LOD,58.4148,45007.9375 , 3110.6907,7131.4214 , 228.2868,<LOD,68.7099,235076.5938 , 530.0226,5,5.500000,40.871113,-124.101639,10.000000,407169.312500,4525033.500000,
640,Mining,60.88,,,,,"Wed Jul 30, 2025 - 15:28:53",User,1,ppm,,,,,,Mining,<LOD,3.1556,<LOD,1.1279,<LOD,2.6704,484878.8125 , 4442.1504,<LOD,1.6285,<LOD,3.6791,<LOD,70.0469,141.8619 , 8.9582,76.3694 , 4.0870,76878.5547 , 143.9806,<LOD,0.0000,<LOD,2.5172,1303.6603 , 32.9104,<LOD,0.9688,2.3404 , 0.5333,120.8686 , 7.6044,5.3531 , 0.8574,<LOD,1.9760,4.3838 , 0.5902,<LOD,0.0000,<LOD,6.9065,<LOD,0.7887,31.7321 , 4.0960,266.5840 , 1.2516,<LOD,0.0000,<LOD,0.9738,7437.1304 , 65.1489,<LOD,1.8555,197.9546 , 19.3298,<LOD,7.3735,24.4294 , 0.5973,93.3110 , 3.0609,68.5469 , 1.0844,48522.7031 , 264.1511,4547.5273 , 108.6315,135030.2188 , 1415.4417,657.6285 , 234.7131,<LOD,90.4384,45908.0000 , 2973.5732,1806.8940 , 131.0839,120.7290 , 30.5314,191874.4062 , 495.0343,7,16.400000,40.871094,-124.101677,10.000000,407166.343750,4525031.500000,
641,Mining,64.77,17.79,12.26,9.69,14.20,"Wed Jul 30, 2025 - 15:34:00",User,1,ppm,,,,,,Mining,<LOD,2.0189,<LOD,1.1673,<LOD,2.7157,476655.1250 , 4618.3730,<LOD,1.4505,<LOD,3.0133,<LOD,69.5864,31.2470 , 6.4784,204.8174 , 5.6308,71187.4688 , 165.7648,<LOD,0.0000,<LOD,3.5181,1335.8524 , 33.9770,<LOD,0.9855,3.1438 , 0.5474,90.0425 , 7.1622,5.0470 , 0.8770,<LOD,1.6636,5.8812 , 0.6546,<LOD,0.0000,<LOD,5.6386,<LOD,0.8560,27.6435 , 3.3907,298.3440 , 1.3833,<LOD,0.0000,<LOD,1.0275,3522.3059 , 44.3673,<LOD,3.0612,70.0623 , 12.4191,<LOD,6.9905,20.4399 , 0.5836,65.6282 , 2.8089,60.5721 , 1.1029,49794.4180 , 248.5565,4972.9819 , 102.2874,136614.2812 , 1388.7039,493.1575 , 176.0409,<LOD,47.4047,72556.0078 , 3207.0393,1108.9490 , 111.4645,<LOD,38.2967,180876.6250 , 486.4945,6,2.800000,40.871208,-124.101700,10.000000,407164.093750,4525044.000000,
642,Mining,60.89,0.00,9.34,9.60,9.01,"Wed Jul 30, 2025 - 15:42:07",User,1,ppm,,,,,,Mining,2.3264 , 1.5155,2.8383 , 0.8478,<LOD,2.9909,537038.1875 , 3644.9438,<LOD,1.5812,<LOD,3.2328,<LOD,77.2691,46.5928 , 7.7275,560.8983 , 8.9844,80838.8359 , 158.0175,<LOD,0.0000,<LOD,3.7928,1639.1962 , 38.5437,<LOD,1.1139,5.6443 , 0.6248,46.9996 , 7.2329,<LOD,1.2844,<LOD,1.7814,12.1620 , 0.7396,<LOD,0.0000,<LOD,5.8922,<LOD,0.8968,21.9000 , 3.5395,192.6481 , 1.1574,<LOD,0.0000,<LOD,1.1508,8024.6348 , 65.8988,<LOD,1.9930,179.1446 , 19.0528,<LOD,7.4500,37.0282 , 0.7542,68.0952 , 3.1571,112.9106 , 1.3206,57693.4180 , 271.4578,7477.4526 , 127.5789,89675.3594 , 1013.0854,764.4122 , 272.7960,<LOD,47.3361,32856.0195 , 2594.3330,2515.7070 , 138.4709,72.2502 , 27.2596,180115.3125 , 458.4312,6,-12.500000,40.871212,-124.101654,10.000000,407168.187500,4525044.500000,
